date,year,12monthAverageTemperature,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1858-01-01,1858,7.968083333,-2.05,2.198,Berlin,Germany,52.24N,13.14E
1859-01-01,1859,9.595833333,1.215,0.825,Berlin,Germany,52.24N,13.14E
1860-01-01,1860,7.999666667,1.472,1.085,Berlin,Germany,52.24N,13.14E
1861-01-01,1861,8.865666667,-6.045,1.188,Berlin,Germany,52.24N,13.14E
1862-01-01,1862,8.911583333,-2.573,1.041,Berlin,Germany,52.24N,13.14E
1863-01-01,1863,9.812083333,2.59,2.27,Berlin,Germany,52.24N,13.14E
1864-01-01,1864,6.98525,-5.448,0.899,Berlin,Germany,52.24N,13.14E
1865-01-01,1865,8.87825,-0.526,0.835,Berlin,Germany,52.24N,13.14E
1866-01-01,1866,9.43925,3.662,0.602,Berlin,Germany,52.24N,13.14E
1867-01-01,1867,8.409166667,-0.859,1.517,Berlin,Germany,52.24N,13.14E
1868-01-01,1868,10.24058333,-1.437,0.641,Berlin,Germany,52.24N,13.14E
1869-01-01,1869,9.062416667,-0.87,1.49,Berlin,Germany,52.24N,13.14E
1870-01-01,1870,7.5655,-0.078,1.137,Berlin,Germany,52.24N,13.14E
1871-01-01,1871,7.079916667,-5.924,1.266,Berlin,Germany,52.24N,13.14E
1872-01-01,1872,9.97225,0.099,1.95,Berlin,Germany,52.24N,13.14E
1873-01-01,1873,9.266916667,2.941,1.19,Berlin,Germany,52.24N,13.14E
1874-01-01,1874,9.077416667,1.777,1.358,Berlin,Germany,52.24N,13.14E
1875-01-01,1875,8.04025,0.682,0.654,Berlin,Germany,52.24N,13.14E
1876-01-01,1876,8.640833333,-3.266,0.456,Berlin,Germany,52.24N,13.14E
1877-01-01,1877,8.951916667,2.126,1.525,Berlin,Germany,52.24N,13.14E
1878-01-01,1878,9.384166667,0.331,0.968,Berlin,Germany,52.24N,13.14E
1879-01-01,1879,7.45675,-2.944,0.615,Berlin,Germany,52.24N,13.14E
1880-01-01,1880,9.084833333,-1.948,0.904,Berlin,Germany,52.24N,13.14E
1881-01-01,1881,7.748916667,-5.92,0.412,Berlin,Germany,52.24N,13.14E
1882-01-01,1882,9.28375,1.051,0.942,Berlin,Germany,52.24N,13.14E
1883-01-01,1883,8.540166667,-0.704,0.451,Berlin,Germany,52.24N,13.14E
1884-01-01,1884,9.197833333,3.209,0.449,Berlin,Germany,52.24N,13.14E
1885-01-01,1885,8.465083333,-2.586,0.685,Berlin,Germany,52.24N,13.14E
1886-01-01,1886,8.551416667,-1.311,0.835,Berlin,Germany,52.24N,13.14E
1887-01-01,1887,7.934083333,-3.226,0.852,Berlin,Germany,52.24N,13.14E
1888-01-01,1888,7.607333333,-1.611,1.136,Berlin,Germany,52.24N,13.14E
1889-01-01,1889,8.342916667,-2.892,0.635,Berlin,Germany,52.24N,13.14E
1890-01-01,1890,8.350666667,2.007,0.475,Berlin,Germany,52.24N,13.14E
1891-01-01,1891,8.476,-4.037,0.645,Berlin,Germany,52.24N,13.14E
1892-01-01,1892,8.277583333,-1.888,0.648,Berlin,Germany,52.24N,13.14E
1893-01-01,1893,8.50325,-8.071,0.655,Berlin,Germany,52.24N,13.14E
1894-01-01,1894,8.96025,-1.648,0.563,Berlin,Germany,52.24N,13.14E
1895-01-01,1895,8.278666667,-3.424,0.618,Berlin,Germany,52.24N,13.14E
1896-01-01,1896,8.571,-0.925,0.383,Berlin,Germany,52.24N,13.14E
1897-01-01,1897,8.685166667,-3.099,0.911,Berlin,Germany,52.24N,13.14E
1898-01-01,1898,9.417416667,2.407,0.769,Berlin,Germany,52.24N,13.14E
1899-01-01,1899,8.959833333,2.281,0.598,Berlin,Germany,52.24N,13.14E
1900-01-01,1900,9.1615,0.303,0.534,Berlin,Germany,52.24N,13.14E
1901-01-01,1901,8.581416667,-4.087,0.422,Berlin,Germany,52.24N,13.14E
1902-01-01,1902,7.63425,3.368,0.563,Berlin,Germany,52.24N,13.14E
1903-01-01,1903,9.283166667,0.379,0.714,Berlin,Germany,52.24N,13.14E
1904-01-01,1904,9.151083333,-1.012,0.819,Berlin,Germany,52.24N,13.14E
1905-01-01,1905,8.89825,-1.505,0.687,Berlin,Germany,52.24N,13.14E
1906-01-01,1906,9.313583333,1.157,0.448,Berlin,Germany,52.24N,13.14E
1907-01-01,1907,8.5245,-0.606,0.402,Berlin,Germany,52.24N,13.14E
1908-01-01,1908,8.351416667,-1.288,0.564,Berlin,Germany,52.24N,13.14E
1909-01-01,1909,8.160333333,-1.249,0.467,Berlin,Germany,52.24N,13.14E
1910-01-01,1910,9.331,1.789,0.414,Berlin,Germany,52.24N,13.14E
1911-01-01,1911,9.890666667,-0.071,0.398,Berlin,Germany,52.24N,13.14E
1912-01-01,1912,8.492,-3.103,0.726,Berlin,Germany,52.24N,13.14E
1913-01-01,1913,9.413,-0.708,0.217,Berlin,Germany,52.24N,13.14E
1914-01-01,1914,9.503333333,-2.655,0.69,Berlin,Germany,52.24N,13.14E
1915-01-01,1915,8.557166667,0.277,0.306,Berlin,Germany,52.24N,13.14E
1916-01-01,1916,9.296916667,3.703,0.476,Berlin,Germany,52.24N,13.14E
1917-01-01,1917,8.386916667,-2.542,0.518,Berlin,Germany,52.24N,13.14E
1918-01-01,1918,9.419416667,0.942,0.433,Berlin,Germany,52.24N,13.14E
1919-01-01,1919,8.0015,0.846,0.435,Berlin,Germany,52.24N,13.14E
1920-01-01,1920,9.369083333,1.968,0.253,Berlin,Germany,52.24N,13.14E
1921-01-01,1921,9.781833333,4.455,0.299,Berlin,Germany,52.24N,13.14E
1922-01-01,1922,7.757083333,-3.459,0.362,Berlin,Germany,52.24N,13.14E
1923-01-01,1923,8.578166667,2.06,0.231,Berlin,Germany,52.24N,13.14E
1924-01-01,1924,8.2985,-3.223,0.321,Berlin,Germany,52.24N,13.14E
1925-01-01,1925,9.32325,3.111,0.411,Berlin,Germany,52.24N,13.14E
