teams,total_goals,total_matches,total_citizenships,height,weight,pos,bday,sidejobs,importance
1,0,10,1,176,68,goalkeeper,1992-04-17,1,11
6,107,233,1,171,50,midfielder,1992-04-18,1,168
7,49,298,1,174,61,midfielder,1992-05-09,1,84
1,1,12,1,183,68,forward,1992-05-13,1,8
1,1,18,1,166,50,midfielder,1992-05-28,1,1
2,0,106,1,168,53,defender,1992-05-29,1,2
5,62,215,1,171,64,forward,1992-06-01,1,60
2,31,62,1,171,75,forward,1992-06-09,1,38
2,9,85,1,172,57,midfielder,1992-07-30,1,10
1,1,3,1,160,61,forward,1992-08-15,1,10
1,0,10,1,179,64,midfielder,1992-09-11,1,5
2,2,55,1,166,56,midfielder,1992-09-16,1,2
2,0,6,1,171,60,midfielder,1992-09-25,1,6
6,23,163,1,163,62,defender,1992-09-29,1,114
2,22,79,1,172,62,midfielder,1992-09-30,1,2
5,0,23,1,173,68,goalkeeper,1992-10-14,1,90
6,3,159,1,172,67,defender,1992-10-24,1,96
2,0,17,1,160,50,midfielder,1992-11-04,1,6
1,1,114,1,169,65,goalkeeper,1992-11-04,1,12
8,23,125,1,165,54,defender,1992-11-24,1,120
1,3,74,1,168,61,defender,1992-11-27,1,1
1,13,48,1,164,55,forward,1992-12-08,1,7
2,0,20,1,167,62,midfielder,1992-12-14,1,12
2,25,152,1,165,66,midfielder,1992-12-18,1,2
1,3,124,1,165,57,defender,1993-01-02,1,1
3,17,172,1,157,64,defender,1993-01-02,1,63
6,11,105,1,173,58,defender,1993-02-08,1,42
5,58,137,1,164,58,forward,1993-02-10,1,20
8,10,136,1,168,58,midfielder,1993-02-24,1,104
4,4,8,2,174,63,midfielder,1993-03-01,1,20
1,0,24,1,170,79,defender,1993-03-02,1,1
5,54,130,1,155,53,forward,1993-03-18,1,205
2,1,21,1,171,58,fullback,1993-03-22,1,30
1,1,9,1,168,56,forward,1993-04-09,1,5
1,16,104,1,162,50,attacker,1993-04-10,1,1
3,1,143,1,172,62,defender,1993-04-11,1,3
3,14,47,1,165,51,attacker,1993-05-02,1,3
2,57,95,1,161,47,forward,1993-05-05,1,10
1,0,9,1,163,53,defender,1993-05-08,1,0
1,13,87,1,157,59,midfielder,1993-05-11,1,20
4,0,24,1,157,71,goalkeeper,1993-05-11,1,60
1,3,19,1,168,58,centre-back,1993-05-12,1,8
3,11,109,1,176,65,defender,1993-05-25,1,27
9,1,173,1,173,60,goalkeeper,1993-06-05,1,117
5,47,224,1,171,62,midfielder,1993-06-19,1,25
2,12,40,1,159,52,midfielder,1993-06-26,1,22
8,8,98,1,167,62,midfielder,1993-06-28,1,56
1,19,16,1,166,60,goalkeeper,1993-07-09,1,3
9,22,96,1,179,60,midfielder,1993-07-12,1,99
2,7,21,1,168,59,midfielder,1993-07-27,1,26
